127.0.0.1 - - [23/Dec/2024:13:07:56 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/ HTTP/1.1" 200 28571
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/css/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/style.css HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 697
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/img/bootstrap-template.png HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/slide/carousel1.png HTTP/1.1" 200 62632
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/slide/carousel3.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/b.jpg HTTP/1.1" 200 58795
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/c.jpg HTTP/1.1" 200 46325
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/img/c.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/img/a.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:07:57 +0700] "GET /BachShop/assets/user/img/maestro.png HTTP/1.1" 200 2049
